roster,row_index,name,award_year,service,acm_profile,acm_evidence_url,acm_evidence_time,acm_award_country,reviewed_at,prior_link,accepted_link,prior_quality,accepted_quality,prior_date,accepted_date,evidence_mode,identity_finding,review_status,availability,fetch_outcome,evidence_time,capture_sha256,capture_path,final_url,institution_country_evidence,publication_count,count_basis,sample_count,sample_scope,representative_publications,coverage_finding,contamination_finding,rationale,search_queries,search_outcome,candidate,review_question,action,additional_sources
turing_award_winners.csv,4,"Sutton, Richard",2024,dblp,https://awards.acm.org/award-recipients/sutton_0160594,https://awards.acm.org/award-recipients/sutton_0160594,2026-09-13T23:36:05Z,Canada,2026-09-18T19:32:58.722129+00:00,https://dblp.org/pid/48/6070,https://dblp.org/pid/48/6070,Y,Y,2026-09-18,2026-09-18,existing captures; general web discovery,supported,supported,available at retained capture only; not freshly checked,ok,2026-09-18T00:35:49Z,e681d5e447e1a60bf4a90780daa461a6f5e5aafd153d7c78551eb0d36600cf9f,bigcows-crawler/.cache/dblp-missing-web-2026-09-17-203211/safari/captures/dfebeb97b5a5cc8a999580998611a61cd30b677e2ffa29c50571f5e60bec0dda-1789691749735183000.html,https://dblp.org/pid/48/6070.html,"id=""profile""> Person information affiliation: DeepMind Alberta, Edmonton, AB, Canada affiliation: University of Alberta, Department of Computing Science, Edmonton, AB, Canada affiliation (PhD 1984): University of Massachusetts Amherst, MA, USA award (2024): Turing Award ",202,records in complete retained bibliography; versions/reprints may repeat works,12,"12 chronological samples spanning newest, middle and oldest work; years 1983–2026",Asynchronous Stochastic Approximation with Applications to Average-Reward Reinforcement Learning. | An Idiosyncrasy of Time-discretization in Reinforcement Learning. | Experiments with Reinforcement Learning in Problems with Continuous State and Action Spaces. | Neuronlike adaptive elements that can solve difficult learning control problems.,meaningful career-spanning body of recognized or adjacent work in retained bibliography,no substantial unrelated cluster in inspected records,"Alberta/Amii reinforcement learning, temporal difference, options and Sutton/Barto text agree. Preserve different upstream CS Scholar ID; accepted CS identity supported independently by institution and homepage.",,,,,retain,
turing_award_winners.csv,4,"Sutton, Richard",2024,csrankings,https://awards.acm.org/award-recipients/sutton_0160594,https://awards.acm.org/award-recipients/sutton_0160594,2026-09-13T23:36:05Z,Canada,2026-09-18T19:32:58.722129+00:00,Richard S. Sutton,Richard S. Sutton,,,2026-09-18,2026-09-18,existing captures; general web discovery,supported,supported,present in selected source snapshot; live inclusion not checked,retained source row matches all five original fields,2026-09-18 source snapshot,adc6f9339ec1673d4d2c3a0acf1640b8776faa11f0fa988a8aa2f191622b6dce,bigcows-crawler/.cache/csrankings/csrankings-r.csv,,University of Alberta; homepage https://webdocs.cs.ualberta.ca/~sutton; compared with ACM country Canada and publication identity.,not applicable,not applicable,not applicable,,,not applicable,not applicable,"Alberta/Amii reinforcement learning, temporal difference, options and Sutton/Barto text agree. Preserve different upstream CS Scholar ID; accepted CS identity supported independently by institution and homepage. Generated DBLP link https://dblp.org/pers/hd/s/Sutton:Richard_S%3D has no retained resolved-destination capture in this review; its destination remains unverified and was not used as independent identity proof.",,,,,revalidate exact source key; alignment date remains 2026-09-18,https://webdocs.cs.ualberta.ca/~sutton
turing_award_winners.csv,5,"Wigderson, Avi",2023,scholar,https://awards.acm.org/award-recipients/wigderson_3844537,https://awards.acm.org/award-recipients/wigderson_3844537,2026-09-13T23:36:12Z,USA,2026-09-18T19:32:58.722129+00:00,,,N,N,,,existing captures; general web discovery,missing,missing,no stored link,,,,,,,,,,,,not assessed: missing link,not assessed,"IAS complexity identity and broad DBLP coverage of randomness, expanders and interactive proofs agree. No stored Scholar or CS association.","[{""query"": ""Avi Wigderson \""Google Scholar\"""", ""log"": ""scholar-search-0.json""}, {""query"": ""Avi Wigderson IAS Google Scholar CSRankings profile"", ""log"": ""search-0.json""}]",General web search and retained candidate evidence did not establish an acceptable accessible profile; no claim that none exists. September 16 search: No matching author profile verified in the general web search results.,,,leave blank,
turing_award_winners.csv,5,"Wigderson, Avi",2023,dblp,https://awards.acm.org/award-recipients/wigderson_3844537,https://awards.acm.org/award-recipients/wigderson_3844537,2026-09-13T23:36:12Z,USA,2026-09-18T19:32:58.722129+00:00,https://dblp.org/pid/w/AviWigderson,https://dblp.org/pid/w/AviWigderson,Y,Y,2026-09-17,2026-09-17,existing captures; general web discovery,supported,supported,available at retained capture only; not freshly checked,ok,2026-09-17T20:11:27Z,936fb8f6beeeb55b8e22a2d82d7614f0c22b459b7795179eb4d9be3af6510165,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/970ff190a9da7b414439339fad794f5ced0bfd5c07b213d00df6c9a41c42e117-1789675887411777000.html,https://dblp.org/pid/w/AviWigderson.html,"id=""profile""> Person information affiliation: Princeton, New Jersey, USA award (2023): Turing Award award (2021): Abel Prize award (2019): Knuth Prize award (2009): Gödel Prize award (2008): Josiah Willard Gibbs Lectureship <div style=""clear:",397,records in complete retained bibliography; versions/reprints may repeat works,12,"12 chronological samples spanning newest, middle and oldest work; years 1982–2025",Almost-Ramanujan Expanders From Arbitrary Expanders via Operator Amplification. | Constructing Large Families of Pairwise Far Permutations: Good Permutation Codes Based on the Shuffle-Exchange Network. | Multi-Prover Interactive Proofs: How to Remove Intractability Assumptions. | A New Approximate Graph Coloring Algorithm.,meaningful career-spanning body of recognized or adjacent work in retained bibliography,no substantial unrelated cluster in inspected records,"IAS complexity identity and broad DBLP coverage of randomness, expanders and interactive proofs agree. No stored Scholar or CS association.",,,,,retain,
turing_award_winners.csv,5,"Wigderson, Avi",2023,csrankings,https://awards.acm.org/award-recipients/wigderson_3844537,https://awards.acm.org/award-recipients/wigderson_3844537,2026-09-13T23:36:12Z,USA,2026-09-18T19:32:58.722129+00:00,,,,,,,existing captures; general web discovery,missing,missing,missing association; not evidence of upstream withdrawal,,,,,,,not applicable,not applicable,not applicable,,,not applicable,not applicable,"IAS complexity identity and broad DBLP coverage of randomness, expanders and interactive proofs agree. No stored Scholar or CS association.","[{""query"": ""Avi Wigderson \""Google Scholar\"""", ""log"": ""scholar-search-0.json""}, {""query"": ""Avi Wigderson IAS Google Scholar CSRankings profile"", ""log"": ""search-0.json""}]",No supported exact key found in selected 26 source shards or saved candidates; general web search did not establish an original source row.,,,leave blank,
turing_award_winners.csv,6,"Metcalfe, Robert Melancton",2022,scholar,https://awards.acm.org/award-recipients/metcalfe_3968158,https://awards.acm.org/award-recipients/metcalfe_3968158,2026-09-13T23:36:20Z,USA,2026-09-18T19:32:58.722129+00:00,https://scholar.google.com/citations?user=EKGzIBYAAAAJ,https://scholar.google.com/citations?user=EKGzIBYAAAAJ,Y,Y,2026-09-17,2026-09-17,existing captures; general web discovery,supported,supported_sample,available at retained capture only; not freshly checked,retained success,2026-09-17T02:05:55Z,ea7f638f4e5cb33290765ac2e569fd116fa21f3f1835bf5f304c94445d5a684a,,https://scholar.google.com/citations?user=EKGzIBYAAAAJ,"The University of Texas at Austin; ACM award country USA; affiliations describe the capture, not necessarily award year.",20,lower bound from captured first page; not total profile size,20,all 20 captured most-cited entries; broader coverage and recent-work assessment unresolved,Ethernet: Distributed packet switching for local computer networks | Reverse path forwarding of broadcast packets | Metcalfe's law after 40 years of ethernet | Multipoint data communication system with collision detection,multiple central works represented in sample; full bibliography and recent-work coverage unresolved,no substantial unrelated cluster in the inspected sample,UT Austin network pioneer supported by Ethernet and network patents. Beyond Calculation chapter credits reflect edited-book metadata; isolated nonauthor chapter credits do not invalidate the sample. Check recent geothermal LLM collaboration rather than confusing the Columbia economist namesake.,,,,,retain,https://pangea.stanford.edu/ERE/db/GeoConf/papers/SGW/2026/Metcalfe.pdf
turing_award_winners.csv,6,"Metcalfe, Robert Melancton",2022,dblp,https://awards.acm.org/award-recipients/metcalfe_3968158,https://awards.acm.org/award-recipients/metcalfe_3968158,2026-09-13T23:36:20Z,USA,2026-09-18T19:32:58.722129+00:00,https://dblp.org/pid/69/829,https://dblp.org/pid/69/829,Y,Y,2026-09-17,2026-09-17,existing captures; general web discovery,supported,supported,available at retained capture only; not freshly checked,ok,2026-09-17T23:49:50Z,1abe5c374f0d0998d07162815dc17aaafde54dd324a8db5d512b04bf0dd5822e,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/e6e6716d8324893893a4548c9a2f8f44504e4a043206721a8605bfa45ed3946d-1789688990433360000.html,https://dblp.org/pid/69/829.html,"id=""profile""> Person information award (2022): Turing Award award (2013): Internet Hall of Fame award (2007): National Inventors Hall of Fame award (2003): National Medal of Technology and Innovation award (2003): Marconi Prize award (1996): EFF Pioneer Award award (1996): IEEE Medal of Honor award (1980): Grace Murray Hopper Award ",31,records in complete retained bibliography; versions/reprints may repeat works,12,"12 chronological samples spanning newest, middle and oldest work; years 1971–2026","Decision-Support and Modeling with Large Language Models for Geothermal Well Arrays. | Metcalfe's Law after 40 Years of Ethernet. | Comments on ""Byte size for connections"". | Standardization of host call letters.",meaningful career-spanning body of recognized or adjacent work in retained bibliography,no substantial unrelated cluster in inspected records,UT Austin network pioneer supported by Ethernet and network patents. Beyond Calculation chapter credits reflect edited-book metadata; isolated nonauthor chapter credits do not invalidate the sample. Check recent geothermal LLM collaboration rather than confusing the Columbia economist namesake.,,,,,retain,https://pangea.stanford.edu/ERE/db/GeoConf/papers/SGW/2026/Metcalfe.pdf
turing_award_winners.csv,6,"Metcalfe, Robert Melancton",2022,csrankings,https://awards.acm.org/award-recipients/metcalfe_3968158,https://awards.acm.org/award-recipients/metcalfe_3968158,2026-09-13T23:36:20Z,USA,2026-09-18T19:32:58.722129+00:00,,,,,,,existing captures; general web discovery,missing,missing,missing association; not evidence of upstream withdrawal,,,,,,,not applicable,not applicable,not applicable,,,not applicable,not applicable,UT Austin network pioneer supported by Ethernet and network patents. Beyond Calculation chapter credits reflect edited-book metadata; isolated nonauthor chapter credits do not invalidate the sample. Check recent geothermal LLM collaboration rather than confusing the Columbia economist namesake.,"[{""query"": ""Robert Metcalfe geothermal Edelman"", ""log"": ""additional-search-notes.json""}, {""query"": ""Robert Metcalfe Ethernet CSRankings faculty profile"", ""log"": ""search-0.json""}]",No supported exact key found in selected 26 source shards or saved candidates; general web search did not establish an original source row.,,,leave blank,https://pangea.stanford.edu/ERE/db/GeoConf/papers/SGW/2026/Metcalfe.pdf
turing_award_winners.csv,7,"Dongarra, Jack",2021,scholar,https://awards.acm.org/award-recipients/dongarra_3406337,https://awards.acm.org/award-recipients/dongarra_3406337,2026-09-13T23:36:27Z,USA,2026-09-18T19:32:58.722129+00:00,https://scholar.google.com/citations?user=X4SbSTAAAAAJ,https://scholar.google.com/citations?user=X4SbSTAAAAAJ,Y,Y,2026-09-17,2026-09-17,existing captures; general web discovery,supported,supported_sample,available at retained capture only; not freshly checked,retained success,2026-09-17T02:06:01Z,f3faf756db6dd4095e19ca58ffb0a325b6cb2e82327b97bdac222d7174cc0a41,bigcows-crawler/.cache/turing-scholar-refresh-2026-09-16/cache.json,https://scholar.google.com/citations?user=X4SbSTAAAAAJ,"University of Tennessee; Oak Ridge National Laboratory; University of Manchester; ACM award country USA; affiliations describe the capture, not necessarily award year.",20,lower bound from captured first page; not total profile size,20,all 20 captured most-cited entries; broader coverage and recent-work assessment unresolved,"LAPACK Users’ Guide, SIAM, Philadelphia, 1999 | LAPACK Users' Guide, Third Edition | LAPACK Users' Guide, Second Edition | Templates for the solution of linear systems: building blocks for iterative methods",multiple central works represented in sample; full bibliography and recent-work coverage unresolved,no substantial unrelated cluster in the inspected sample,"Tennessee HPC, LAPACK, LINPACK, MPI and numerical libraries converge. Isolated parametrization attribution does not outweigh coherent sample. Preserve accepted Jack Dongarra source key despite alternate Jack J. Dongarra source row.",,,,,retain,
turing_award_winners.csv,7,"Dongarra, Jack",2021,dblp,https://awards.acm.org/award-recipients/dongarra_3406337,https://awards.acm.org/award-recipients/dongarra_3406337,2026-09-13T23:36:27Z,USA,2026-09-18T19:32:58.722129+00:00,https://dblp.org/pid/d/JackDongarra,https://dblp.org/pid/d/JackDongarra,Y,Y,2026-09-17,2026-09-17,existing captures; general web discovery,supported,supported,available at retained capture only; not freshly checked,ok,2026-09-17T22:32:53Z,f5315980487b02126bf3913e9f2cd7075bfa7721cb5db4fbac9f70697da22e52,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/364f0a25bd0d28cfd5b103f39cb827b4d5ba2fa535cfa175aebdf12bb20d9a72-1789684374027058000.html,https://dblp.org/pid/d/JackDongarra.html,"id=""profile""> Person information affiliation: University of Tennessee, Knoxville, TN, USA affiliation: Oak Ridge National Laboratory, TN, USA affiliation: University of Manchester, Manchester, UK award (2021): Turing Award award (2020): Computer Pioneer Award <div style=""clear:",1019,records in complete retained bibliography; versions/reprints may repeat works,12,"12 chronological samples spanning newest, middle and oldest work; years 1976–2026","Announcing the Shaw Prize in Computer Science. | Leveraging PaRSEC Runtime Support to Tackle Challenging 3D Data-Sparse Matrix Problems. | Recent Enhancements To Pvm. | Matrix Eigensystem Routines - EISPACK Guide, Second Edition.",meaningful career-spanning body of recognized or adjacent work in retained bibliography,no substantial unrelated cluster in inspected records,"Tennessee HPC, LAPACK, LINPACK, MPI and numerical libraries converge. Isolated parametrization attribution does not outweigh coherent sample. Preserve accepted Jack Dongarra source key despite alternate Jack J. Dongarra source row.",,,,,retain,
turing_award_winners.csv,7,"Dongarra, Jack",2021,csrankings,https://awards.acm.org/award-recipients/dongarra_3406337,https://awards.acm.org/award-recipients/dongarra_3406337,2026-09-13T23:36:27Z,USA,2026-09-18T19:32:58.722129+00:00,Jack Dongarra,Jack Dongarra,,,2026-09-18,2026-09-18,existing captures; general web discovery,supported,supported,present in selected source snapshot; live inclusion not checked,retained source row matches all five original fields,2026-09-18 source snapshot,77b4e9d41db5c5d4f35f06f15f0b463662d792dd3b67139471d59dda0dc0dda4,bigcows-crawler/.cache/csrankings/csrankings-j.csv,,University of Tennessee; homepage http://www.netlib.org/utk/people/JackDongarra; compared with ACM country USA and publication identity.,not applicable,not applicable,not applicable,,,not applicable,not applicable,"Tennessee HPC, LAPACK, LINPACK, MPI and numerical libraries converge. Isolated parametrization attribution does not outweigh coherent sample. Preserve accepted Jack Dongarra source key despite alternate Jack J. Dongarra source row. Generated DBLP link https://dblp.org/pers/hd/d/Dongarra:Jack has no retained resolved-destination capture in this review; its destination remains unverified and was not used as independent identity proof.",,,,,revalidate exact source key; alignment date remains 2026-09-18,http://www.netlib.org/utk/people/JackDongarra
