roster,name,previous_csrankings_name,csrankings_name,status,legacy_dblp_candidates,legacy_scholar_candidates,reason,institutional_source,roster_dblp_profile,roster_scholar_profile
acm_fellows.csv,"Adar, Eytan",Eytan Adar,Eytan Adar,existing_link_corroborated,Eytan Adar,Eytan Adar,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/a/EytanAdar,https://scholar.google.com/citations?user=4tMapHYAAAAJ
acm_fellows.csv,"Jenkins, Odest Chadwicke",Odest Chadwicke Jenkins,Odest Chadwicke Jenkins,existing_link_corroborated,Odest Chadwicke Jenkins,Odest Chadwicke Jenkins,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/99/4449,https://scholar.google.com/citations?user=dp5LnVAAAAAJ
acm_fellows.csv,"Jia, Jiaya",Jiaya Jia,Jiaya Jia,existing_link_corroborated,Jiaya Jia,Jiaya Jia,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/31/5649,https://scholar.google.com/citations?user=XPAkzTEAAAAJ
acm_fellows.csv,"Jia, Xiaohua",Xiaohua Jia,Xiaohua Jia,existing_link_corroborated,Xiaohua Jia,Xiaohua Jia,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/j/XiaohuaJia,https://scholar.google.com/citations?user=L5iEhq0AAAAJ
acm_fellows.csv,"Jin, Hai",Hai Jin 0001,Hai Jin 0001,existing_link_corroborated,Hai Jin 0001,Hai Jin 0001,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/98/4156,https://scholar.google.com/citations?user=o02W0aEAAAAJ
acm_fellows.csv,"Kawarabayashi, Ken-Ichi",Ken-ichi Kawarabayashi,Ken-ichi Kawarabayashi,existing_link_corroborated,Ken-ichi Kawarabayashi,,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/45/6846,https://scholar.google.com/citations?user=DWERCmsAAAAJ
acm_fellows.csv,"Kiayias, Aggelos",Aggelos Kiayias,Aggelos Kiayias,existing_link_corroborated,Aggelos Kiayias,Aggelos Kiayias,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/47/3682,https://scholar.google.com/citations?user=P_L_vZAAAAAJ
acm_fellows.csv,"Kohno, Tadayoshi",Tadayoshi Kohno,Tadayoshi Kohno,existing_link_corroborated,Tadayoshi Kohno,Tadayoshi Kohno,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/k/TadayoshiKohno,https://scholar.google.com/citations?user=s_YDrrgAAAAJ
acm_fellows.csv,"Lehner, Wolfgang",Wolfgang Lehner,Wolfgang Lehner,existing_link_corroborated,Wolfgang Lehner,Wolfgang Lehner,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/l/WLehner,https://scholar.google.com/citations?user=YYzvyMQAAAAJ
acm_fellows.csv,"Ma, Jian",Jian Ma 0004,Jian Ma 0004,existing_link_corroborated,Jian Ma 0004,,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/26/4870-4,https://scholar.google.com/citations?user=nDw9v78AAAAJ
acm_fellows.csv,"Mahajan, Ratul",Ratul Mahajan,Ratul Mahajan,existing_link_corroborated,Ratul Mahajan,Ratul Mahajan,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/81/6327,https://scholar.google.com/citations?user=Sh1yq5QAAAAJ
acm_fellows.csv,"Medvidovic, Nenad",Nenad Medvidovic,Nenad Medvidovic,existing_link_corroborated,Nenad Medvidovic,Nenad Medvidovic,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/65/1728,https://scholar.google.com/citations?user=kqW_-2gAAAAJ
acm_fellows.csv,"Mokbel, Mohamed F",Mohamed F. Mokbel,Mohamed F. Mokbel,existing_link_corroborated,Mohamed F. Mokbel,Mohamed F. Mokbel,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/94/5893,https://scholar.google.com/citations?user=GHz1ZVIAAAAJ
acm_fellows.csv,"Müller, Peter",Peter Müller 0001,Peter Müller 0001,existing_link_corroborated,Peter Müller 0001,,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/m/PMuller1,https://scholar.google.com/citations?user=ttxZRHEAAAAJ
acm_fellows.csv,"Nisan, Noam",Noam Nisan,Noam Nisan,existing_link_corroborated,Noam Nisan,Noam Nisan,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/n/NoamNisan,https://scholar.google.com/citations?user=zXQZPnMAAAAJ
acm_fellows.csv,"Orso, Alessandro",Alessandro Orso,Alessandro Orso,existing_link_corroborated,Alessandro Orso,Alessandro Orso,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/35/805,https://scholar.google.com/citations?user=wCfYkMkAAAAJ
acm_fellows.csv,"Poshyvanyk, Denys",Denys Poshyvanyk,Denys Poshyvanyk,existing_link_corroborated,Denys Poshyvanyk,Denys Poshyvanyk,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/02/320,https://scholar.google.com/citations?user=gyLFs0IAAAAJ
acm_fellows.csv,"Procaccia, Ariel",Ariel D. Procaccia,Ariel D. Procaccia,existing_link_corroborated,Ariel D. Procaccia,Ariel D. Procaccia,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/p/ArielDProcaccia,https://scholar.google.com/citations?user=8ZpV-lkAAAAJ
acm_fellows.csv,"Ratnasamy, Sylvia",Sylvia Ratnasamy,Sylvia Ratnasamy,existing_link_corroborated,Sylvia Ratnasamy,Sylvia Ratnasamy,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/68/5579,https://scholar.google.com/citations?user=sAdDcvQAAAAJ
acm_fellows.csv,"Regev, Oded",Oded Regev 0001,Oded Regev 0001,existing_link_corroborated,Oded Regev 0001,Oded Regev 0001,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/r/OdedRegev,https://scholar.google.com/citations?user=3-gk0ioAAAAJ
acm_fellows.csv,"Rudin, Cynthia",Cynthia Rudin,Cynthia Rudin,existing_link_corroborated,Cynthia Rudin,Cynthia Rudin,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/62/6936,https://scholar.google.com/citations?user=mezKJyoAAAAJ
acm_fellows.csv,"Solihin, Yan",Yan Solihin,Yan Solihin,existing_link_corroborated,Yan Solihin,Yan Solihin,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/11/2624,https://scholar.google.com/citations?user=sUQFclgAAAAJ
acm_fellows.csv,"Tan, Kian-Lee",Kian-Lee Tan,Kian-Lee Tan,existing_link_corroborated,Kian-Lee Tan,,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/t/KianLeeTan,https://scholar.google.com/citations?user=JQ-sxKYAAAAJ
acm_fellows.csv,"Tong, Hanghang",Hanghang Tong,Hanghang Tong,existing_link_corroborated,Hanghang Tong,Hanghang Tong,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/58/1757,https://scholar.google.com/citations?user=RaINcuUAAAAJ
acm_fellows.csv,"Torralba, Antonio",Antonio Torralba 0001,Antonio Torralba 0001,existing_link_corroborated,Antonio Torralba 0001,Antonio Torralba 0001,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/t/AntonioBTorralba,https://scholar.google.com/citations?user=8cxDHS4AAAAJ
acm_fellows.csv,"Weirich, Stephanie",Stephanie Weirich,Stephanie Weirich,existing_link_corroborated,Stephanie Weirich,,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/w/StephanieWeirich,https://scholar.google.com/citations?user=-vC_l2kAAAAJ
acm_fellows.csv,"Wierman, Adam",Adam Wierman,Adam Wierman,existing_link_corroborated,Adam Wierman,Adam Wierman,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/56/4447,https://scholar.google.com/citations?user=4OvOdSgAAAAJ
acm_fellows.csv,"Xiong, Hui",Hui Xiong 0001,Hui Xiong 0001,existing_link_corroborated,Hui Xiong 0001,Hui Xiong 0001,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/262/1686-1,https://scholar.google.com/citations?user=cVDF1tkAAAAJ
acm_fellows.csv,"Xiong, Li",Li Xiong 0001,Li Xiong 0001,existing_link_corroborated,Li Xiong 0001,Li Xiong 0001,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/39/3530-1,https://scholar.google.com/citations?user=jJ8BLgsAAAAJ
acm_fellows.csv,"Yang, Junfeng",Junfeng Yang,Junfeng Yang,existing_link_corroborated,Junfeng Yang,Junfeng Yang,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/71/3724,https://scholar.google.com/citations?user=JJ9AvbAAAAAJ
acm_fellows.csv,"Yi, Ke",Ke Yi 0001,Ke Yi 0001,existing_link_corroborated,Ke Yi 0001,Ke Yi 0001,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/43/1219-1,https://scholar.google.com/citations?user=dWcZPFEAAAAJ
acm_fellows.csv,"Zhu, Jun",Jun Zhu 0001,Jun Zhu 0001,existing_link_corroborated,Jun Zhu 0001,Jun Zhu 0001,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/50/2644-1,https://scholar.google.com/citations?user=axsP38wAAAAJ
acm_fellows.csv,"Alexa, Marc",Marc Alexa,Marc Alexa,existing_link_corroborated,Marc Alexa,Marc Alexa,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/a/MarcAlexa,https://scholar.google.com/citations?user=KNwXLLsAAAAJ
acm_fellows.csv,"Arenas, Marcelo",Marcelo Arenas,Marcelo Arenas,existing_link_corroborated,Marcelo Arenas,Marcelo Arenas,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/76/6735,https://scholar.google.com/citations?user=YHR0wkkAAAAJ
acm_fellows.csv,"Bailey, Michael",Michael D. Bailey,Michael D. Bailey,existing_link_corroborated,Michael D. Bailey,Michael D. Bailey,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/359/0958,https://scholar.google.com/citations?user=sMnocAYAAAAJ
acm_fellows.csv,"Banerjee, Arindam",Arindam Banerjee 0001,Arindam Banerjee 0001,existing_link_corroborated,Arindam Banerjee 0001,Arindam Banerjee 0001,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/82/4807,https://scholar.google.com/citations?user=RY7cuPAAAAAJ
acm_fellows.csv,"Barrett, Clark",Clark Barrett,Clark Barrett,existing_link_corroborated,Clark Barrett,Clark Barrett,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/b/ClarkWBarrett,https://scholar.google.com/citations?user=BtwmZfQAAAAJ
acm_fellows.csv,"Chechik, Marsha",Marsha Chechik,Marsha Chechik,existing_link_corroborated,Marsha Chechik,Marsha Chechik,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/c/MarshaChechik,https://scholar.google.com/citations?user=CYfxRVIAAAAJ
acm_fellows.csv,"Chen, Lei",Lei Chen 0002,Lei Chen 0002,existing_link_corroborated,Lei Chen 0002,Lei Chen 0002,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/c/LeiChen0002,https://scholar.google.com/citations?user=gtglwgYAAAAJ
acm_fellows.csv,"Chong, Fred",Fred Chong,Fred Chong,existing_link_corroborated,Fred Chong,Fred Chong,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/c/FTChong,https://scholar.google.com/citations?user=U6OVPVMAAAAJ
acm_fellows.csv,"Cook, Diane Joyce",Diane Joyce Cook,Diane Joyce Cook,existing_link_corroborated,Diane Joyce Cook,Diane Joyce Cook,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/c/DianeJCook,https://scholar.google.com/citations?user=VpfWvTUAAAAJ
acm_fellows.csv,"Curless, Brian",Brian Curless,Brian Curless,existing_link_corroborated,Brian Curless,Brian Curless,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/c/BrianCurless,https://scholar.google.com/citations?user=tlh8i7gAAAAJ
acm_fellows.csv,"de Alfaro, Luca",Luca de Alfaro,Luca de Alfaro,existing_link_corroborated,Luca de Alfaro,Luca de Alfaro,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/d/LucadeAlfaro,https://scholar.google.com/citations?user=gkACFVcAAAAJ
acm_fellows.csv,"de Rijke, Maarten",Maarten de Rijke,Maarten de Rijke,existing_link_corroborated,Maarten de Rijke,Maarten de Rijke,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/r/MdRijke,https://scholar.google.com/citations?user=AVDkgFIAAAAJ
acm_fellows.csv,"Dressler, Falko",Falko Dressler,Falko Dressler,existing_link_corroborated,Falko Dressler,Falko Dressler,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/d/FalkoDressler,https://scholar.google.com/citations?user=sK8213AAAAAJ
acm_fellows.csv,"Elmqvist, Niklas",Niklas Elmqvist,Niklas Elmqvist,existing_link_corroborated,Niklas Elmqvist,Niklas Elmqvist,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/e/NiklasElmqvist,https://scholar.google.com/citations?user=LoQXe24AAAAJ
acm_fellows.csv,"Feldman, Michal",Michal Feldman,Michal Feldman,existing_link_corroborated,Michal Feldman,,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/43/1464,https://scholar.google.com/citations?user=VpLQu7oAAAAJ
acm_fellows.csv,"Foster, Nate",Nate Foster,Nate Foster,existing_link_corroborated,Nate Foster,Nate Foster,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/15/3253,https://scholar.google.com/citations?user=AH5j40kAAAAJ
acm_fellows.csv,"Goel, Ashish",Ashish Goel,Ashish Goel,existing_link_corroborated,Ashish Goel,Ashish Goel,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/g/AshishGoel,https://scholar.google.com/citations?user=B_rKfusAAAAJ
acm_fellows.csv,"Heer, Jeffrey Michael",Jeffrey Michael Heer,Jeffrey Michael Heer,existing_link_corroborated,Jeffrey Michael Heer,Jeffrey Michael Heer,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/27/4508,https://scholar.google.com/citations?user=vlgs4G4AAAAJ
acm_fellows.csv,"Kankanhalli, Mohan",Mohan Kankanhalli,Mohan Kankanhalli,existing_link_corroborated,Mohan Kankanhalli,Mohan Kankanhalli,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/09/3613,https://scholar.google.com/citations?user=6Lx_eowAAAAJ
acm_fellows.csv,"King, Irwin",Irwin King,Irwin King,existing_link_corroborated,Irwin King,Irwin King,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/k/IrwinKing,https://scholar.google.com/citations?user=MXvC7tkAAAAJ
acm_fellows.csv,"Leonardi, Stefano",Stefano Leonardi 0001,Stefano Leonardi 0001,existing_link_corroborated,Stefano Leonardi 0001,Stefano Leonardi 0001,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/l/StefanoLeonardi,https://scholar.google.com/citations?user=p5LCHHEAAAAJ
acm_fellows.csv,"li, guoliang",Guoliang Li 0001,Guoliang Li 0001,existing_link_corroborated,Guoliang Li 0001,,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/181/2628,https://scholar.google.com/citations?user=Pi89P8kAAAAJ
acm_fellows.csv,"Mezini, Mira",Mira Mezini,Mira Mezini,existing_link_corroborated,Mira Mezini,Mira Mezini,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/m/MiraMezini,https://scholar.google.com/citations?user=ESQUnJEAAAAJ
acm_fellows.csv,"Misra, Sudip",Sudip Misra,Sudip Misra,existing_link_corroborated,Sudip Misra,Sudip Misra,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/36/1023,https://scholar.google.com/citations?user=h33l-A8AAAAJ
acm_fellows.csv,"Nuseibeh, Bashar A",Bashar Ahmad Nuseibeh,Bashar Ahmad Nuseibeh,existing_link_corroborated,Bashar Ahmad Nuseibeh,Bashar Ahmad Nuseibeh,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/26/1319,https://scholar.google.com/citations?user=aUQ8O9gAAAAJ
acm_fellows.csv,"Pagh, Rasmus",Rasmus Pagh,Rasmus Pagh,existing_link_corroborated,Rasmus Pagh,Rasmus Pagh,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/p/RasmusPagh,https://scholar.google.com/citations?user=VO4oS8UAAAAJ
acm_fellows.csv,"Ramakrishnan, Naren",Naren Ramakrishnan,Naren Ramakrishnan,existing_link_corroborated,Naren Ramakrishnan,Naren Ramakrishnan,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/r/NarenRamakrishnan,https://scholar.google.com/citations?user=fMJwG7MAAAAJ
acm_fellows.csv,"Randall, Dana",Dana Randall,Dana Randall,existing_link_corroborated,Dana Randall,Dana Randall,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/62/3610,https://scholar.google.com/citations?user=6wCEmNYAAAAJ
acm_fellows.csv,"Roychoudhury, Abhik",Abhik Roychoudhury,Abhik Roychoudhury,existing_link_corroborated,Abhik Roychoudhury,Abhik Roychoudhury,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/04/5884,https://scholar.google.com/citations?user=UxFWSJIAAAAJ
acm_fellows.csv,"Silva, Claudio T.",Cláudio T. Silva,Cláudio T. Silva,existing_link_corroborated,Cláudio T. Silva,Cláudio T. Silva,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/s/ClaudioTSilva,https://scholar.google.com/citations?user=YIwiAAsAAAAJ
acm_fellows.csv,"Starner, Thad",Thad Starner,Thad Starner,existing_link_corroborated,Thad Starner,Thad Starner,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/s/ThadStarner,https://scholar.google.com/citations?user=qr8Vo9IAAAAJ
acm_fellows.csv,"Xing, Guoliang",Guoliang Xing,Guoliang Xing,existing_link_corroborated,Guoliang Xing,Guoliang Xing,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/63/4542,https://scholar.google.com/citations?user=kI5JKs8AAAAJ
acm_fellows.csv,"Zobel, Justin",Justin Zobel,Justin Zobel,existing_link_corroborated,Justin Zobel,Justin Zobel,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/z/JZobel,https://scholar.google.com/citations?user=uEHvqE8AAAAJ
acm_fellows.csv,"Akella, Aditya",Aditya Akella,Aditya Akella,existing_link_corroborated,Aditya Akella,Aditya Akella,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/a/AdityaAkella,https://scholar.google.com/citations?user=d_rxnzAAAAAJ
acm_fellows.csv,"Backes, Michael",Michael Backes 0001,Michael Backes 0001,existing_link_corroborated,Michael Backes 0001,Michael Backes 0001,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/b/MichaelBackes1,https://scholar.google.com/citations?user=ZVS3KOEAAAAJ
acm_fellows.csv,"Bafna, Vineet",Vineet Bafna,Vineet Bafna,existing_link_corroborated,Vineet Bafna,,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/b/VineetBafna,https://scholar.google.com/citations?user=zr2I_WMAAAAJ
acm_fellows.csv,"Balcan, Maria-Florina",Maria-Florina Balcan,Maria-Florina Balcan,existing_link_corroborated,Maria-Florina Balcan,Maria-Florina Balcan,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/b/MariaFlorinaBalcan,https://scholar.google.com/citations?user=LWlN_BUAAAAJ
acm_fellows.csv,"Bansal, Nikhil",Nikhil Bansal 0001,Nikhil Bansal 0001,existing_link_corroborated,Nikhil Bansal 0001,Nikhil Bansal 0001,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/69/5601,https://scholar.google.com/citations?user=3Lmd6AMAAAAJ
acm_fellows.csv,"Belkin, Mikhail",Mikhail Belkin,Mikhail Belkin,existing_link_corroborated,Mikhail Belkin,Mikhail Belkin,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/41/2337,https://scholar.google.com/citations?user=Iwd9DdkAAAAJ
