name,year,google_scholar_profile_quality,category,review_requested,reason,acm_fellow_profile,google_scholar_profile,dblp_profile,acm_citation,scholar_name,scholar_affiliation,sample_publications,dblp_title_matches,evidence_title,evidence_authors,supporting_source,reviewed_at,scholar_fetched_at,acm_fetched_at,scholar_capture_sha256,previous_quality,previous_category,previous_reason,adjacent_sample_lower_bound,reassessment_basis
Cynthia Rudin,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/rudin_6865488,https://scholar.google.com/citations?user=mezKJyoAAAAJ,https://dblp.org/pid/62/6936,For contributions to and leadership in interpretable machine learning and societal applications,Cynthia Rudin,"Professor of Computer Science, ECE, Statistics, and Biostatistics & Bioinformatics, Duke University",20,15,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:20:48Z,2026-09-13T15:24:17.078220+00:00,cff6d758502d1e5d9f8e75a03bebb2041b63febb3b8e270839257325fb6e9cce,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Dejan S Milojicic,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/milojicic_3644218,https://scholar.google.com/citations?user=4VqLAT8AAAAJ,https://dblp.org/pid/53/726,"For contributions to software and hardware architectures of distributed systems, from high performance computing to cloud computing.",Dejan Milojicic,Hewlett Packard Labs,20,16,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:20:54Z,2026-09-13T15:24:23.456289+00:00,1b3f225e7c99e8a2b681f882fa2f5b5356bfdf84f8dfcc5211bdf569530ab5e8,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Deming Chen,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/chen_8226730,https://scholar.google.com/citations?user=A_A_LrsAAAAJ,https://dblp.org/pid/37/1234,"For contributions to reconfigurable computing, including synthesis algorithms and customizable AI accelerator design methodologies",Deming Chen,Abel Bliss Professor. University of Illinois at Urbana-Champaign,20,19,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:21:00Z,2026-09-13T15:24:30.226056+00:00,35dea8979a9e71dbf15a41b74789c6d246ce18caba3c5cfefd88d4eff8b3087c,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Denys Poshyvanyk,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/poshyvanyk_9168537,https://scholar.google.com/citations?user=gyLFs0IAAAAJ,https://dblp.org/pid/02/320,For the development of deep learning and software analytics methods that transformed software engineering research and practice,Denys Poshyvanyk,"Chancellor Professor of Computer Science, William & Mary",20,20,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:21:05Z,2026-09-13T15:24:36.723017+00:00,81c3ebe60f2dd6e0b018ddc2478746b284f06b2e167d5ddceab9f3362b9c6c35,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Eric Allman,2025,N,missing_profile,N,No Scholar link is stored; N follows the user decision and does not imply a mixed profile or that no public profile exists.,https://awards.acm.org/award-recipients/allman_1511070,,https://dblp.org/pid/71/1984,For the development of electronic mail.,,,0,0,,,,2026-09-17T21:17:16-04:00,,2026-09-13T15:24:43.761502+00:00,,N,missing_profile,No Scholar link is stored; N follows the user decision and does not imply a mixed profile or that no public profile exists.,,
Eytan Adar,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/adar_2005416,https://scholar.google.com/citations?user=4tMapHYAAAAJ,https://dblp.org/pid/a/EytanAdar,"For research in data mining, data visualization, and social computing.",Eytan Adar,"Professor, University of Michigan",20,15,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:21:12Z,2026-09-13T15:24:51.328797+00:00,95e342010633314443a64a8243c862e399c01dce047a6573fe8079bf82eac69a,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Franck Cappello,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/cappello_5342872,https://scholar.google.com/citations?user=z5u02kIAAAAJ,https://dblp.org/pid/c/FranckCappello,"For contributions to parallel/distributed computing, resilience, and scientific data reduction",Franck Cappello,"Argonne National Laboratory. IEEE Fellow, ACM Fellow.",20,18,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:21:19Z,2026-09-13T15:24:57.755105+00:00,1177203ede4c0da149553b7ea83ea9d24b8b338232dab33ae741453be8984ad9,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Gail-Joon Ahn,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/ahn_UK34778,https://scholar.google.com/citations?user=_dzO69sAAAAJ,https://dblp.org/pid/a/GailJoonAhn,"For contributions to the foundations and practical applications of information and systems security, including formal models and policy frameworks.",Gail-Joon Ahn,Arizona State University,20,18,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:21:26Z,2026-09-13T15:25:03.880834+00:00,9fa199e234030512dbeef182f54d604ebdb21c1f0c2a1f9641f30a5cb78d82e2,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
George Candea,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/candea_UK12950,https://scholar.google.com/citations?user=Yd-SGH8AAAAJ,https://dblp.org/pid/c/GeorgeCandea,For broad contributions to dependable systems,George Candea,"Professor of Computer Science, EPFL (Lausanne, Switzerland)",20,18,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:21:33Z,2026-09-13T15:25:10.654784+00:00,084797ecc79eacf9a3c255564170d57a0b28684664642b007c493551d518ceb8,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
George Drettakis,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/drettakis_3424991,https://scholar.google.com/citations?user=LGo5J4IAAAAJ,https://dblp.org/pid/59/2449,"For contributions to computer graphics, image based rendering, and visual computing.",George Drettakis,Inria Center at Université Côte d’Azur/GRAPHDECO,20,19,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:21:39Z,2026-09-13T15:25:17.276834+00:00,969de957d311178a5e7663d407a6ec7de9b86d8688511d6187c2ac2c5a35c5e5,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Gookwon Edward Suh,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/suh_UK42031,https://scholar.google.com/citations?user=neO3vFYAAAAJ,https://dblp.org/pid/09/5657,For contributions to the development of secure hardware circuits and processors.,Edward Suh,NVIDIA / Cornell University,20,17,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:21:45Z,2026-09-13T15:25:24.852231+00:00,6c86c5fe1f2a1a9027408ad398239eaa183f647ad2edca042b44abe5c05698cd,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Hai Jin,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/jin_5262688,https://scholar.google.com/citations?user=o02W0aEAAAAJ,https://dblp.org/pid/98/4156,"For contributions to efficient data-centric processing, memory management, and distributed system architectures.",Hai Jin,Huazhong University of Science and Technology,20,20,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:21:51Z,2026-09-13T15:25:32.173557+00:00,8c5e30e4df1a6ef733e5a82f2a2f3d1d6be7d21bf46a3742bee1f337c1a40424,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Hanghang Tong,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/tong_5695427,https://scholar.google.com/citations?user=RaINcuUAAAAJ,https://dblp.org/pid/58/1757,"For contributions to the theories, algorithms, and applications of large-scale graph mining",Hanghang Tong,University of Illinois at Urbana-Champaign,20,18,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:21:57Z,2026-09-13T15:25:37.930186+00:00,a8a20f80a5fe55a4c82df5b3baa04b8858d9f0c0474c911cfe44bdb7186dcda5,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Hui Xiong,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/xiong_2153112,https://scholar.google.com/citations?user=cVDF1tkAAAAJ,https://dblp.org/pid/262/1686-1,For research contributions to the advancement of AI and mobile computing,Hui Xiong,Rutgers University/Baidu/HKUST,20,20,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:22:04Z,2026-09-13T15:25:44.391492+00:00,df1ed7863fa17471c0bb0b6c0141d6f4a023d1681f90fa665ff1448f04064ae9,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Javier Esparza,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/esparza_0737344,https://scholar.google.com/citations?user=c9qgPSYAAAAJ,https://dblp.org/pid/e/JEsparza,For contributions to the theory of program verification and concurrent systems.,Javier Esparza,"Professor of Computer Science, Technical University of Munich",20,19,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:22:10Z,2026-09-13T15:25:52.055090+00:00,f6740522dfc3f28cc841a578b3cae06ce3e8e53876c81c93afc466b03e306bd7,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Jian Ma,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/ma_3426463,https://scholar.google.com/citations?user=nDw9v78AAAAJ,https://dblp.org/pid/26/4870-4,For contributions to computational biology algorithms and machine learning approaches for understanding genomes and cells,Jian Ma,"Ray and Stephanie Lane Professor, School of Computer Science, Carnegie Mellon University",20,5,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:22:16Z,2026-09-13T15:25:59.586117+00:00,df7734694fbaab346203298fdfd57b6a622517e9faa9eb7729bf2ed1c4aa5b87,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Jiaya Jia,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/jia_6564062,https://scholar.google.com/citations?user=XPAkzTEAAAAJ,https://dblp.org/pid/31/5649,"For contributions to segmentation, scene parsing and texture analysis in computer vision",Jiaya Jia,"Chair Professor, HKUST; Adjunct Prof., CUHK",20,19,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:22:24Z,2026-09-13T15:26:05.638714+00:00,811b325d347d7f5ca56949e808d6bf1880ffd43d75072bf6ddcfd8788bcd9e9c,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Jun Zhu,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/zhu_5363164,https://scholar.google.com/citations?user=axsP38wAAAAJ,https://dblp.org/pid/50/2644-1,For contributions to the theory and methods of probabilistic machine learning,Jun Zhu,"Professor of Computer Science, Tsinghua University; ACM/IEEE/AAAI Fellow",20,20,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:22:30Z,2026-09-13T15:26:12.098272+00:00,c05a63378ed0852d04e3a6310461c46b9497dad3b316c04f4d5abaee9851da95,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Junfeng Yang,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/yang_3897197,https://scholar.google.com/citations?user=JJ9AvbAAAAAJ,https://dblp.org/pid/71/3724,For leadership and contributions to trustworthy software and AI systems,Junfeng Yang,"Professor of Computer Science, Columbia University",20,19,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:22:37Z,2026-09-13T15:26:19.785450+00:00,610e53b2ca6e9b5f3ada64314f38bb2dbc090d68176179d75a055de723822207,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Kate Starbird,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/starbird_5342784,https://scholar.google.com/citations?user=C6KSF5gAAAAJ,https://dblp.org/pid/84/7848,"For contributions to understanding and improving information ecosystems, including during crisis events and addressing misinformation",Kate Starbird,"Professor, Human Centered Design & Engineering, University of Washington",20,14,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:22:43Z,2026-09-13T15:26:26.595387+00:00,05bc0fda8d68767cedd882b44ee00e2a05d49f8dcc56faff4d93a2042827810c,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Ke Yi,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/yi_2901212,https://scholar.google.com/citations?user=dWcZPFEAAAAJ,https://dblp.org/pid/43/1219-1,For contributions to the theory and practice of query processing,Ke Yi,HKUST,20,19,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:22:50Z,2026-09-13T15:26:32.740984+00:00,853dd487d91e367ddfac3d6297676f6e4378f2a41d8f487f0aca4360d6bf1f22,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Ken-Ichi Kawarabayashi,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/kawarabayashi_8923013,https://scholar.google.com/citations?user=DWERCmsAAAAJ,https://dblp.org/pid/45/6846,"For his contributions to graph theory, graph algorithms, and their applications.",Ken-ichi Kawarabayashi,"National Institute of Informatics, The University of Tokyo",20,15,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:22:56Z,2026-09-13T15:27:54.960452+00:00,8c0002bd4a6db490456d6a4e557f78baa80e3b78b0040526e9c885be0143f5ad,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Kian-Lee Tan,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/tan_3461761,https://scholar.google.com/citations?user=JQ-sxKYAAAAJ,https://dblp.org/pid/t/KianLeeTan,For contributions to query optimization and processing for advanced database applications,Kian-Lee Tan,National University of Singapore,20,20,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:25:29Z,2026-09-13T15:28:02.591036+00:00,82da660e8a29e1b8556cb26aa9e6bae744334c6019b8d821b40b420f0931390a,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Kwang-Ting Cheng,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/cheng_4587069,https://scholar.google.com/citations?user=-SgpaF8AAAAJ,https://dblp.org/pid/c/KwangTingCheng,For contributions to design automation and software-hardware co-design of electronic circuits and computing systems.,Kwang-Ting (Tim) Cheng,"Chair Professor of ECE and CSE, HKUST",20,13,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:25:35Z,2026-09-13T15:28:09.771890+00:00,28285740fc51ea866b078d5e8228e0c0f268fc5325b2d60f3d5deea4dd4a47c7,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Li Xiong,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/xiong_7440829,https://scholar.google.com/citations?user=jJ8BLgsAAAAJ,https://dblp.org/pid/39/3530-1,For contributions to privacy-preserving and secure data sharing and analytics,Li Xiong,"Samuel Dobbs Professor, Computer Science, Emory University",20,18,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:25:42Z,2026-09-13T15:28:16.958650+00:00,e9e920732d9ec354480edb4cd5facf920fb4e459b3c4f9e17d8d66c779bafb45,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Luca P Carloni,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/carloni_UJ17314,https://scholar.google.com/citations?user=sEAoh3MAAAAJ,https://dblp.org/pid/68/2644,For contributions to the design of system-on-chip architectures and heterogeneous computing platforms.,Luca Carloni,"Professor and Chair of Computer Science, Columbia University",20,18,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:25:47Z,2026-09-13T15:28:23.972498+00:00,64b97d0365e22772cd0ad692537060b7fc1bccbd7af54d022feb5a0b441bf369,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Lujo Bauer,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/bauer_8383135,https://scholar.google.com/citations?user=5cJzDZEAAAAJ,https://dblp.org/pid/32/3440,"For contributions to access control, usable security and privacy, and the security of machine learning.",Lujo Bauer,Carnegie Mellon University,20,20,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:25:54Z,2026-09-13T15:28:30.733892+00:00,ad12208b115d4ffc55ecb9c3753c367604f305569d88b1d16fc29f35503f09f1,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
