name,year,previous_profile,google_scholar_profile,outcome,fetched_at_utc,http_status,scholar_name,affiliation,capture_sha256,note,source
Pat Hanrahan,2019,https://scholar.google.com/citations?user=RzEnQmgAAAAJ,https://scholar.google.com/citations?user=RzEnQmgAAAAJ,accepted,2026-09-17T02:06:26Z,200,Patrick Hanrahan,Stanford University,56d2821a234cd064a77c1cd545750aa6186811a6fe968198b0f2693640e1c037,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Shapenet: An information-rich 3d model repository; Light field rendering; Physically based rendering. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/hanrahan_4652251
Geoffrey E Hinton,2018,https://scholar.google.com/citations?user=JicYPdAAAAAJ,https://scholar.google.com/citations?user=JicYPdAAAAAJ,accepted,2026-09-17T02:06:32Z,200,Geoffrey Hinton,"Emeritus Prof. Computer Science, University of Toronto",c217bd04ae1f9a8399071b530b442eccb57b97142c8c7055160fe84e6256639b,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Imagenet classification with deep convolutional neural networks; Deep learning; Visualizing data using t-SNE. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/hinton_4791679
Yann LeCun,2018,https://scholar.google.com/citations?user=WLN3QrAAAAAJ,https://scholar.google.com/citations?user=WLN3QrAAAAAJ,accepted,2026-09-17T02:06:39Z,200,Yann LeCun,"Executive Chairman AMI Labs & Jacob T Schwarz Professor, Courant Institute, New York University",8a75d88371a1ceb9c728723926c1412cca8c6b2f3e1f4db63812f359f0ed424a,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Deep learning; Gradient-based learning applied to document recognition; Backpropagation applied to handwritten zip code recognition. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/lecun_6017366
Yoshua Bengio,2018,https://scholar.google.com/citations?user=kukA0LcAAAAJ,https://scholar.google.com/citations?user=kukA0LcAAAAJ,accepted,2026-09-17T02:06:46Z,200,Yoshua Bengio,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",5c1a4751b38ad2d577f856d6f38dc992ffc4f2d36ed3cf1c3e6b5676e48fbf6f,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Generative adversarial nets; Deep learning; Deep learning. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/bengio_3406375
David Patterson,2017,https://scholar.google.com/citations?user=Wj4ZBFIAAAAJ,https://scholar.google.com/citations?user=Wj4ZBFIAAAAJ,accepted,2026-09-17T02:06:54Z,200,David Patterson,"Professor of Computer Science, UC Berkeley",c571b2a858947549eb49f0a53a1c31455e38fef9d327bb211fa520b0dcfce026,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Computer architecture: a quantitative approach; A view of cloud computing; Clio and the Economics of QWERTY. Name and affiliation unchanged from the reviewed ACM Fellows capture. Prior issue: confirmed_attribution_conflict. Clio and the Economics of QWERTY is by Paul A. David.",https://awards.acm.org/award-recipients/patterson_2316693
John L Hennessy,2017,https://scholar.google.com/citations?user=tp07xT0AAAAJ,https://scholar.google.com/citations?user=tp07xT0AAAAJ,accepted,2026-09-17T02:07:00Z,200,John Hennessy,Stanford University,6e8b22584e1948ae7f556ee9b98f2e8060d18eb147d60a769f4c875f44daf32a,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Computer architecture: a quantitative approach; Computer organization and design: the hardware/software interface; Computer architecture: a quantitative approach. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/hennessy_1426931
Tim Berners-Lee,2016,,,no_verified_profile,,,,,,Institutional biblioguide links a general Scholar search; no profile ID established.,https://biblioteca.uoc.edu/ca/biblioguies/biblioguia/Sir-Tim-Berners-Lee.-Doctor-honoris-causa
Martin Hellman,2015,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Whitfield Diffie,2015,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Michael Stonebraker,2014,,,no_verified_profile,,,,,,Research.com lists a Scholar link but no usable profile ID was established.,https://research.com/u/michael-stonebraker
Leslie Lamport,2013,https://scholar.google.com/citations?user=uG3icVgAAAAJ,https://scholar.google.com/citations?user=uG3icVgAAAAJ,accepted,2026-09-17T02:07:07Z,200,Leslie Lamport,Unknown affiliation,c948e58125f9f6570b801ce4a704939dd7add6398b9e08639c3fde381a17b1fb,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Time, clocks, and the ordering of events in a distributed system; The Byzantine generals problem; The part-time parliament. Name and affiliation unchanged from the reviewed ACM Fellows capture. Prior issue: no_verified_email; limited_affiliation_metadata.",https://awards.acm.org/award-recipients/lamport_1205376
Shafi Goldwasser,2012,https://scholar.google.com/citations?user=KA8dgpMAAAAJ,https://scholar.google.com/citations?user=KA8dgpMAAAAJ,accepted,2026-09-17T02:07:14Z,200,Shafi Goldwasser,professor of computer science at UC Berkeley,baded7a9e35afed8e68f88f134d78c3efbee39422a51973088f76bd91f27d78e,"Identity supported by Scholar name, affiliation where available, and characteristic publications: The knowledge complexity of interactive proof-systems; Probabilistic encryption & how to play mental poker keeping secret all partial information; Completeness theorems for non-cryptographic fault-tolerant distributed computation. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/goldwasser_8627889
Silvio Micali,2012,,,no_verified_profile,,,,,,"Listed Google Scholar link is a general scholar?q=MICALI search, not a profile.",https://topitalianscientists.org/tis/1630/Silvio_Micali_-_Top_Italian_Scientist_in_Computer_Sciences
Judea Pearl,2011,https://scholar.google.com/citations?user=bAipNH8AAAAJ,https://scholar.google.com/citations?user=bAipNH8AAAAJ,accepted,2026-09-17T02:07:19Z,200,Judea Pearl,"Professor of Computer Science, University of California, Los Angeles",8adf51f6d3bc4eec97a4b33b7a78d5aae00e9f94cdacafc7e2656b4f32a35d4b,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Probabilistic reasoning in intelligent systems: Networks of plausible inference; Causality; The book of why. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/pearl_2658896
Leslie G Valiant,2010,https://scholar.google.com/citations?user=H509xdsAAAAJ,https://scholar.google.com/citations?user=H509xdsAAAAJ,accepted,2026-09-17T02:07:27Z,200,Leslie Valiant,Unknown affiliation,9462fb8f3550f90f0546125df33c4746c411426a888f643bd00152c65ea39dd9,"Identity supported by Scholar name, affiliation where available, and characteristic publications: A theory of the learnable; A bridging model for parallel computation; The complexity of computing the permanent. Name and affiliation unchanged from the reviewed ACM Fellows capture. Prior issue: no_verified_email; limited_affiliation_metadata.",https://awards.acm.org/award-recipients/valiant_2612174
Charles P. Thacker,2009,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Barbara Liskov,2008,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
E. Allen Emerson,2007,https://scholar.google.com/citations?user=kTmc3LAAAAAJ,,cleared_wrong_person,2026-09-17T02:07:34Z,200,Eric Emerson,Unknown affiliation,57e7ff30132f350e4ce04b6bac0b5daabf45d3db9fcd3a1e33dfcaa732133ff2,"Fresh page identifies Eric Emerson and lists disability-health publications, not E. Allen Emerson and model checking. Replacement web search found no verified profile. Cleared link and removed unreferenced metrics.",https://www.lancaster.ac.uk/health-and-medicine/about-us/people/eric-emerson | https://www.cs.utexas.edu/~emerson/
Edmund Clarke,2007,https://scholar.google.com/citations?user=_adL2C8AAAAJ,https://scholar.google.com/citations?user=_adL2C8AAAAJ,accepted,2026-09-17T02:07:40Z,200,Edmund Clarke,University Professor Emeritus at Carnegie Mellon University,056914fa5e910b8b9bdbb96e28a58534a58fe6d8acdcba6509c038fdba87c0f7,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Model checking; Automatic verification of finite-state concurrent systems using temporal logic specifications; Design and synthesis of synchronization skeletons using branching time temporal logic. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/clarke_1167964
Joseph Sifakis,2007,https://scholar.google.com/citations?user=8jCwk4EAAAAJ,https://scholar.google.com/citations?user=8jCwk4EAAAAJ,accepted,2026-09-17T02:07:45Z,200,Joseph Sifakis,"Reseracher at Verimag laboratory, Grenoble",e6d806793b99ab9ac520b11010a7bb5b8a8537d38078d48069ca12a7005a1a31,"Identity supported by Scholar name, affiliation where available, and characteristic publications: The algorithmic analysis of hybrid systems; Specification and verification of concurrent systems in CESAR; Symbolic model checking for real-time systems. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/sifakis_1701095
Frances Allen,2006,,,no_verified_profile,,,,,,"Namesake: Berkeley electron microscopy/materials researcher, not IBM compiler pioneer.",https://adscientificindex.com/scientist/frances-allen/1733154/
Peter Naur,2005,,,no_verified_profile,,,,,,Generic author searches and plant-biochemistry namesake; no matching profile ID established.,https://pmc.ncbi.nlm.nih.gov/articles/PMC196579/
Robert E Kahn,2004,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Vinton Cerf,2004,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Alan Kay,2003,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Adi Shamir,2002,https://scholar.google.com/citations?user=EHLBP20AAAAJ,https://scholar.google.com/citations?user=EHLBP20AAAAJ,accepted,2026-09-17T02:07:52Z,200,Adi Shamir,Unknown affiliation,726138f052c0385b57adc03b18e43b50a543c78bd9d34751e8029f688ff1d113,"Identity supported by Scholar name, affiliation where available, and characteristic publications: A method for obtaining digital signatures and public-key cryptosystems; How to share a secret; Identity-based cryptosystems and signature schemes. Name and affiliation unchanged from the reviewed ACM Fellows capture. Prior issue: no_verified_email; limited_affiliation_metadata.",https://awards.acm.org/award-recipients/shamir_2327856
Leonard M. Adleman,2002,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Ronald L Rivest,2002,https://scholar.google.com/citations?user=6qE0tdAAAAAJ,https://scholar.google.com/citations?user=6qE0tdAAAAAJ,accepted,2026-09-17T02:07:57Z,200,Ronald L. Rivest,MIT Institute Professor,2072e3ddbb76f7e5af0bce2adc42dc5e2c71dc6cfcb5b390629c7762bdd19fdf,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Introduction to algorithms; A method for obtaining digital signatures and public-key cryptosystems; The MD5 message-digest algorithm. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/rivest_1403005
Kristen Nygaard,2001,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Ole-Johan Dahl,2001,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Andrew C Yao,2000,,,no_verified_profile,,,,,,"MIT mathematics graduate-student namesake, not the Tsinghua Turing recipient.",https://math.mit.edu/directory/profile.html?pid=2784
Frederick Brooks,1999,https://scholar.google.com/citations?user=_h65cfgAAAAJ,https://scholar.google.com/citations?user=_h65cfgAAAAJ,accepted,2026-09-17T02:08:04Z,200,Frederick P. Brooks,"University of North Carolina at Chapel Hill, emeritus",448dc6d68f5b25c1d7ca91f6811e95df8e90e6d366d98a852c9546c0d5ebcf83,"Identity supported by Scholar name, affiliation where available, and characteristic publications: The mythical man-month, anniversary edition: essays on software engineering; No silver bullet; Computer architecture: a quantitative approach. Name and affiliation unchanged from the reviewed ACM Fellows capture. Possible publication-attribution issue: Computer architecture: a quantitative approach is listed with Patterson, Hennessy, and Goldberg as authors, without Brooks. Correct profile retained; raw totals unchanged.",https://awards.acm.org/award-recipients/brooks_1002187
Jim Gray,1998,https://scholar.google.com/citations?user=Dn4kkYUAAAAJ,https://scholar.google.com/citations?user=Dn4kkYUAAAAJ,accepted,2026-09-17T02:10:33Z,200,Jim Gray,"IBM, Tandem, DEC, Microsoft",123b797feef5c72f08de31a11a27d5b6a6d34588ca629a0b700caaeccc913716,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Transaction processing; Data cube: A relational aggregation operator generalizing group-by, cross-tab, and sub-totals; The fifth data release of the Sloan Digital Sky Survey. Name and affiliation unchanged from the reviewed ACM Fellows capture. Prior issue: no_verified_email.",https://awards.acm.org/award-recipients/gray_3649936
Douglas Engelbart,1997,https://scholar.google.com/citations?user=AS8m_l4AAAAJ,https://scholar.google.com/citations?user=AS8m_l4AAAAJ,accepted,2026-09-17T02:10:40Z,200,Douglas Engelbart,"SRI, Bootstrap Institute",03f7ef4a4720ff2d9f79e8e26d89183de782d5e1d23119c05d4c9c7a3ed05c68,"Identity supported by Scholar name, affiliation where available, and characteristic publications: A research center for augmenting human intellect; A research center for augmenting human intellect; Conceptual Framework for the Augmentation of Man\'s Intellect.",https://awards.acm.org/award-recipients/engelbart_5078811
Amir Pnueli,1996,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Manuel Blum,1995,,,no_verified_profile,,,,,,"Freiburg namesake, not the CMU computational-complexity researcher.",https://adscientificindex.com/scientist/manuel-blum/1783903/
Edward A Feigenbaum,1994,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Raj Reddy,1994,https://scholar.google.com/citations?user=mYu2uuIAAAAJ,https://scholar.google.com/citations?user=mYu2uuIAAAAJ,accepted,2026-09-17T02:10:45Z,200,Raj Reddy,"University Professor of Computer Science and Robotics, Carnegie Mellon University",fba3eaa6d06389d8101114f78c7e258d1a0790c9a8871aa375b37ecf3b352254,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Spoken Language Processing: A guide to theory, algorithm, and system development; The Hearsay-II speech-understanding system: Integrating knowledge to resolve uncertainty; An overview of the SPHINX speech recognition system. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/reddy_9634208
Juris Hartmanis,1993,,,no_verified_profile,,,,,,"Listed profile ID 4Z6vo5QAAAAJ belongs to John Hopcroft, already linked elsewhere in the roster.",https://kodu.ut.ee/~lipmaa/cites/cites.php?data=latvia
Richard E Stearns,1993,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Butler W Lampson,1992,https://scholar.google.com/citations?user=9eyvm28AAAAJ,https://scholar.google.com/citations?user=9eyvm28AAAAJ,accepted,2026-09-17T02:10:51Z,200,Butler Lampson,"Technical Fellow, Microsoft Research",0578c3b66c009545feb81a3f7f0db8b6aae2cf4e77dcce9ef99040b15e5deffc,"Identity supported by Scholar name, affiliation where available, and characteristic publications: A note on the confinement problem; Protection; SPKI certificate theory. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/lampson_1142421
A J Milner,1991,,,no_verified_profile,,,,,,"Search results include Robin Milner-Gulland, a different researcher; preserve user-rejected old link as blank.",https://adscientificindex.com/scientist/robin-milner-gulland/1263485/
Fernando Corbato,1990,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
William Kahan,1989,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Ivan Sutherland,1988,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
John Cocke,1987,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
John E Hopcroft,1986,https://scholar.google.com/citations?user=4Z6vo5QAAAAJ,https://scholar.google.com/citations?user=4Z6vo5QAAAAJ,accepted,2026-09-17T02:10:58Z,200,John Hopcroft,Cornell University,2aacd18e39b23e35650490057d6c47a76e5f783c5de642921779cdef46745fa5,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Introduction to automata theory, languages, and computation; The design and analysis of computer algorithms; Data structures and algorithms. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/hopcroft_1053917
Robert E Tarjan,1986,https://scholar.google.com/citations?user=lazJixIAAAAJ,https://scholar.google.com/citations?user=lazJixIAAAAJ,accepted,2026-09-17T02:11:04Z,200,Robert Tarjan,"Professor of Computer Science, Princeton University",32a37519244a5dd64694a8ce6b72652c7715c15ee8af60dc715a58e55e059220,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Depth-first search and linear graph algorithms; Fibonacci heaps and their uses in improved network optimization algorithms; A new approach to the maximum-flow problem. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/tarjan_1092048
Richard Karp,1985,https://scholar.google.com/citations?user=bYp8FsAAAAAJ,https://scholar.google.com/citations?user=bYp8FsAAAAAJ,accepted,2026-09-17T02:11:11Z,200,Richard M. Karp,"University of California, Berkeley",bc74ceceb5985ec038345371e60f4f4694acd43a98d62dc7e822acae74815a6a,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Reducibility among combinatorial problems; A scalable content-addressable network; An  Algorithm for Maximum Matchings in Bipartite Graphs. Name and affiliation unchanged from the reviewed ACM Fellows capture. Prior issue: no_verified_email.",https://awards.acm.org/award-recipients/karp_3256708
Niklaus E. Wirth,1984,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Dennis M. Ritchie,1983,https://scholar.google.com/citations?user=w1WB5d0AAAAJ,https://scholar.google.com/citations?user=w1WB5d0AAAAJ,accepted,2026-09-17T02:11:18Z,200,Dennis Ritchie,Bell Labs,78fe1c85c88934ae30e2921b5ac71475187b2308bc504eb70267ad297b899a95,"Identity supported by Scholar name, affiliation where available, and characteristic publications: The UNIX time-sharing system; The C programming language; The UNIX System: A Stream Input‐Output System.",https://awards.acm.org/award-recipients/ritchie_1506389
Kenneth Lane Thompson,1983,https://scholar.google.com/citations?user=FsHMg9AAAAAJ,https://scholar.google.com/citations?user=FsHMg9AAAAAJ,accepted,2026-09-17T02:11:24Z,200,Ken Thompson,Retired,2f0cf8bcef24810943f085943a248961384850e2d3f36743de50f442a603de05,"Identity supported by Scholar name, affiliation where available, and characteristic publications: The UNIX time-sharing system; Programming techniques: Regular expression search algorithm; Password security: A case history. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/thompson_4588371
Stephen A Cook,1982,https://scholar.google.com/citations?user=VGxPtzIAAAAJ,https://scholar.google.com/citations?user=VGxPtzIAAAAJ,accepted,2026-09-17T02:11:31Z,200,Stephen Cook,"Department of Computer Science, University of Toronto",e02114a08c3a85115a21b42fd0d2301d00d77fbc30ab59af230d18984b76a9db,"Identity supported by Scholar name, affiliation where available, and characteristic publications: The complexity of theorem-proving procedures; The relative efficiency of propositional proof systems; A taxonomy of problems with fast parallel algorithms. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/cook_N991950
Edgar F. Codd,1981,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
C. Antony R. Hoare,1980,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Kenneth E. Iverson,1979,https://scholar.google.com/citations?user=RBb84VMAAAAJ,,cleared_wrong_person,2026-09-17T02:11:38Z,200,Kenneth R. Iversen,Ph.D.,1ab00285060434b74250a07e40074b25a0ed3e533cafa618737721555395e771,"Fresh page identifies Kenneth R. Iversen and lists cryptographic elections and Norwegian healthcare-security publications, not Kenneth E. Iverson and APL. Replacement web search found no verified profile. Cleared link and removed unreferenced metrics.",https://link.springer.com/book/10.1007/3-540-46766-1?page=2 | https://www.jsoftware.com/papers/tottoc.htm
Robert W. Floyd,1978,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
John Backus,1977,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Dana S Scott,1976,https://scholar.google.com/citations?user=oaja5KYAAAAJ,https://scholar.google.com/citations?user=oaja5KYAAAAJ,accepted,2026-09-17T02:11:44Z,200,Dana Scott,"Visiting Scholar, UC Berkeley",0bf9a663a9bd3a15d56277bf56ff955ca942422d0827d12d8b437f6bfd6ba199,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Finite automata and their decision problems; Continuous lattices and domains; A compendium of continuous lattices. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/scott_1193622
Michael O. Rabin,1976,https://scholar.google.com/citations?user=_UUtVF4AAAAJ,https://scholar.google.com/citations?user=_UUtVF4AAAAJ,accepted,2026-09-17T02:11:49Z,200,Michael Rabin,"Professor, Harvard University",ddef63f378b5da27e10884f1f784fabf8de9eca05d2b46e8150686a8862d2600,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Finite automata and their decision problems; How to exchange secrets with oblivious transfer; Efficient dispersal of information for security, load balancing, and fault tolerance. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/rabin_9681074
Allen Newell,1975,https://scholar.google.com/citations?user=5WfqzjkAAAAJ,https://scholar.google.com/citations?user=5WfqzjkAAAAJ,accepted,2026-09-17T02:11:55Z,200,Allen Newell,"Professor of Computer Science, Carnegie Mellon",81fa59c8327c965bde1b60a68b197d5b774f40a91c77f4d7dce7e7332a9f2909,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Human problem solving: The state of the theory in 1970; The psychology of human computer interaction; Unified theories of cognition.",https://awards.acm.org/award-recipients/newell_3167755
Herbert A. Simon,1975,,,no_verified_profile,,,,,,Web search found historical candidates tk2qT34AAAAJ and 9d7rMrkAAAAJ; both returned HTTP 404 in this fresh crawl. No verified replacement; kept blank.,https://www.wikidata.org/wiki/Q181529
Donald E Knuth,1974,https://scholar.google.com/citations?user=t0yrrzQAAAAJ,https://scholar.google.com/citations?user=t0yrrzQAAAAJ,accepted,2026-09-17T02:12:03Z,200,Donald E. Knuth,Stanford University,0503576da3d2c0f2f5653c425ae1c113b027189c7b1748d7138463f18c0fd597,"Identity supported by Scholar name, affiliation where available, and characteristic publications: The Art of Computer; The Art of Computer; The Art of Computer. Name and affiliation unchanged from the reviewed ACM Fellows capture. Prior issue: no_verified_email.",https://awards.acm.org/award-recipients/knuth_1013846
Charles W Bachman,1973,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Edsger W. Dijkstra,1972,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
